# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -184 0 7676 2 70368744178011017 1 ./index.html-catid=104_lang=en.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 913 1 7797 2 16607023626765270 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=170.html
DUPTYPE_WITHIN_SAME_TREE -913 1 7797 2 255579278853583212 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=170.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 798 0 7846 2 6473924465183656 1 ./index.html-lang=en_catid=5.html
DUPTYPE_WITHIN_SAME_TREE -798 0 7846 2 9288674232015544 1 ./index.html-lang=en_catid=5.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 853 1 7894 2 13510798882947577 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=117.html
DUPTYPE_WITHIN_SAME_TREE -853 1 7894 2 30680772461765763 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=117.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 919 1 7925 2 84161018036744007 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=173.html
DUPTYPE_WITHIN_SAME_TREE -919 1 7925 2 221520806671595990 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=173.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 933 1 7932 2 208572957742855092 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=38.html
DUPTYPE_WITHIN_SAME_TREE -933 1 7932 2 56013520365730912 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=38.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 875 1 7936 2 150870587517169053 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=139.html
DUPTYPE_WITHIN_SAME_TREE -875 1 7936 2 38280596832945177 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=139.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 939 1 7946 2 873698327710135628 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=45.html
DUPTYPE_WITHIN_SAME_TREE -939 1 7946 2 113715890591415093 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=45.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 883 1 7949 2 82190693199768983 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=146.html
DUPTYPE_WITHIN_SAME_TREE -883 1 7949 2 477944510454989824 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=146.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 885 1 7955 2 193373309000478302 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=147.html
DUPTYPE_WITHIN_SAME_TREE -885 1 7955 2 152840912354189197 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=147.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 897 1 7960 2 10696049115841459 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=154.html
DUPTYPE_WITHIN_SAME_TREE -897 1 7960 2 336925547122958235 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=154.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 881 1 7968 2 52917295621860837 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=143.html
DUPTYPE_WITHIN_SAME_TREE -881 1 7968 2 36028797019260766 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=143.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 865 1 7993 2 238127830297472179 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=129.html
DUPTYPE_WITHIN_SAME_TREE -865 1 7993 2 75435293758765873 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=129.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 937 1 8032 2 148618787703485703 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=44.html
DUPTYPE_WITHIN_SAME_TREE -937 1 8032 2 185210534675926382 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=44.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 847 1 8037 2 92886742314773173 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=110.html
DUPTYPE_WITHIN_SAME_TREE -847 1 8037 2 105834591243503431 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=110.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1047 1 8057 2 21392098230272822 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=67.html
DUPTYPE_WITHIN_SAME_TREE -1047 1 8057 2 37436171902855598 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=67.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 953 1 8127 2 272749252432885464 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=62.html
DUPTYPE_WITHIN_SAME_TREE -953 1 8127 2 72339069014953520 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=62.html.clean.html
